driver_index,lap,lap_c_flag,cp,is_sector,cp_time,position
0,4,3,11,False,179.5647,8.0
0,4,3,12,False,180.077,8.0
0,4,3,13,False,180.5473,8.0
0,4,3,14,False,180.9969,8.0
0,4,3,15,False,181.2729,8.0
0,4,3,16,False,181.543,8.0
0,4,3,17,False,182.0664,8.0
0,4,3,18,False,182.6006,8.0
0,4,3,19,False,183.2312,8.0
0,4,3,20,False,183.7546,8.0
0,4,3,21,False,184.5403,8.0
0,4,3,22,False,184.8975,8.0
0,4,3,23,False,185.719,8.0
0,4,3,24,False,186.7644,8.0
0,4,3,25,False,187.6192,8.0
0,4,3,26,False,188.1665,8.0
0,4,3,27,False,188.6439,8.0
0,4,3,28,False,189.1809,8.0
0,4,3,29,False,189.7137,8.0
0,4,3,30,False,190.0751,8.0
0,4,3,31,False,190.5295,8.0
0,4,3,32,False,190.9351,8.0
0,4,3,33,False,191.4556,8.0
0,4,3,34,False,192.14,8.0
0,4,3,35,False,192.7176,8.0
0,4,3,36,True,193.2565,8.0
0,4,3,37,False,193.8594,8.0
0,4,3,38,False,194.0721,8.0
0,4,3,39,False,194.5846,8.0
0,4,3,40,False,195.2116,8.0
0,4,3,41,False,195.8337,8.0
0,4,3,42,False,196.4625,8.0
0,4,3,43,False,196.9964,8.0
0,4,3,44,False,197.5658,8.0
0,4,3,45,False,197.9165,8.0
0,4,3,46,False,198.2603,8.0
0,4,3,47,False,198.6897,8.0
0,4,3,48,False,199.0717,8.0
0,4,3,49,False,199.4391,8.0
0,4,3,50,False,199.7983,8.0
0,4,3,51,False,200.2707,8.0
0,4,3,52,False,200.735,7.0
0,4,3,53,False,201.2114,7.0
0,4,3,54,False,201.6803,7.0
0,4,3,55,False,202.0387,7.0
0,4,3,56,False,202.3977,7.0
0,4,3,57,False,202.9579,7.0
0,4,3,58,False,203.2177,7.0
0,4,3,59,False,203.4718,7.0
0,4,3,60,False,203.7451,7.0
0,4,3,61,False,204.0192,7.0
0,4,3,62,False,204.3564,7.0
0,4,3,63,False,204.6812,7.0
0,4,3,64,False,204.9155,7.0
0,4,3,65,False,205.1525,7.0
0,4,3,66,False,205.3881,7.0
0,4,3,67,False,205.6273,7.0
0,4,3,68,False,205.8685,7.0
