driver_index,lap,lap_time,c_flag,time_start,time_end,position_start,position_end
2,50,53.460399999999936,0,2652.2887,2705.7491,5.0,5.0
2,51,53.92699999999968,0,2705.7491,2759.6760999999997,5.0,5.0
3,1,56.640100000000004,2,0.0,56.640100000000004,2.0,2.0
3,2,52.8862,3,56.640100000000004,109.5263,2.0,2.0
3,3,55.47159999999998,3,109.5263,164.9979,2.0,2.0
3,4,53.614299999999986,3,164.9979,218.61219999999997,2.0,3.0
3,5,53.08570000000003,3,218.61219999999997,271.6979,3.0,3.0
3,6,53.204399999999964,3,271.6979,324.90229999999997,3.0,3.0
3,7,53.1191,3,324.90229999999997,378.02139999999997,3.0,3.0
3,8,53.694500000000005,3,378.02139999999997,431.7159,3.0,3.0
3,9,53.698199999999986,2,431.7159,485.41409999999996,3.0,3.0
3,10,52.6395,2,485.41409999999996,538.0536,3.0,3.0
3,11,53.02520000000004,2,538.0536,591.0788,3.0,3.0
3,12,53.299499999999966,2,591.0788,644.3783,3.0,3.0
3,13,52.882400000000075,2,644.3783,697.2607,3.0,3.0
3,14,53.7041999999999,2,697.2607,750.9649,3.0,3.0
3,15,62.63760000000002,2,750.9649,813.6025,3.0,6.0
3,16,56.6481,2,813.6025,870.2506,6.0,6.0
3,17,53.462800000000016,2,870.2506,923.7134,6.0,5.0
3,18,53.85429999999997,2,923.7134,977.5677,5.0,4.0
3,19,52.4770000000002,2,977.5677,1030.0447000000001,4.0,4.0
3,20,53.16179999999986,3,1030.0447000000001,1083.2065,4.0,3.0
3,21,53.0771000000002,0,1083.2065,1136.2836000000002,3.0,1.0
3,22,52.413499999999885,0,1136.2836000000002,1188.6971,1.0,1.0
3,23,52.74240000000009,0,1188.6971,1241.4395000000002,1.0,1.0
3,24,52.807799999999816,0,1241.4395000000002,1294.2473,1.0,1.0
3,25,53.39830000000006,0,1294.2473,1347.6456,1.0,1.0
3,26,52.64850000000001,2,1347.6456,1400.2941,1.0,1.0
3,27,53.25440000000003,3,1400.2941,1453.5485,1.0,1.0
3,28,53.325399999999945,0,1453.5485,1506.8739,1.0,1.0
3,29,53.19270000000006,0,1506.8739,1560.0666,1.0,1.0
