driver_id,time_start,time_end,lap,tire_compound_start,tire_wear_start,tire_wear_end,tire_perc_start,tire_perc_end,fuel_used_start,fuel_used_end,fuel_perc_start,fuel_perc_end,hit_points_start,hit_points_end,is_inlap,is_outlap,tire_perc_avg,fuel_perc_avg,hit_points_avg,fuel_used,tire_used,lap_time,position_start,position_end
11,1768414,2312742.0,4,2,195282.0,258074.0,91.7976310483871,89.16019825268818,0.0,0.0,0.0,0.0,10000,10000.0,False,False,90.47891465053763,0.0,10000.0,0.0,62792.0,54.4328,14,15
12,1954333,2502003.0,4,1,198759.0,263351.0,88.86878360215054,85.25140008960574,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.06009184587813,0.0,10000.0,0.0,64592.0,54.767,20,20
13,1772167,2313996.0,4,1,188476.0,255979.0,89.44466845878136,85.6642585125448,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.55446348566309,0.0,10000.0,0.0,67503.0,54.1829,16,16
14,1756465,2295828.0,4,1,184731.0,246161.0,89.65440188172043,86.21410170250896,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.9342517921147,0.0,10000.0,0.0,61430.0,53.9363,11,11
15,1762866,2307975.0,4,2,175679.0,235050.0,92.62100974462365,90.1272681451613,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.37413894489248,0.0,10000.0,0.0,59371.0,54.5109,13,13
16,1769996,2310512.0,4,1,176341.0,236342.0,90.12427195340501,86.76400089605735,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.44413642473118,0.0,10000.0,0.0,60001.0,54.0516,15,14
17,1789186,2326793.0,4,2,210357.0,276916.0,91.16444052419355,88.36878360215054,0.0,0.0,0.0,0.0,10000,10000.0,False,False,89.76661206317205,0.0,10000.0,0.0,66559.0,53.7607,17,17
18,1759534,2302614.0,4,1,179088.0,239963.0,89.97043010752688,86.56121191756273,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.2658210125448,0.0,10000.0,0.0,60875.0,54.308,12,12
19,1821845,2365323.0,4,2,177518.0,237076.0,92.54376680107526,90.04217069892474,0.0,0.0,0.0,0.0,10000,10000.0,False,False,91.29296875,0.0,10000.0,0.0,59558.0,54.3478,18,18
0,2284051,2815473.0,5,1,235579.0,303651.0,86.80673163082437,82.9944556451613,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.90059363799284,0.0,10000.0,0.0,68072.0,53.1422,6,6
1,2239175,2768674.0,5,1,240657.0,303033.0,86.52234543010752,83.02906586021506,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.77570564516128,0.0,10000.0,0.0,62376.0,52.9499,1,1
2,2292905,2828415.0,5,2,239832.0,299009.0,89.92641129032258,87.4408182123656,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.6836147513441,0.0,10000.0,0.0,59177.0,53.551,9,9
3,2259722,2790579.0,5,1,246456.0,306790.0,86.1975806451613,82.81866039426524,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.50812051971326,0.0,10000.0,0.0,60334.0,53.0857,3,3
4,2277694,2803842.0,5,1,240574.0,303064.0,86.52699372759857,83.02732974910394,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.77716173835125,0.0,10000.0,0.0,62490.0,52.6148,4,4
5,2292116,2825228.0,5,1,240821.0,304218.0,86.5131608422939,82.96270161290323,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.73793122759857,0.0,10000.0,0.0,63397.0,53.3112,8,8
6,2258545,2787546.0,5,1,239443.0,303707.0,86.590333781362,82.99131944444444,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.79082661290323,0.0,10000.0,0.0,64264.0,52.9001,2,2
7,2294013,2844230.0,5,1,224118.0,280428.0,87.44858870967742,84.29502688172043,0.0,0.0,0.0,0.0,10000,10000.0,False,False,85.87180779569893,0.0,10000.0,0.0,56310.0,55.0217,10,10
8,2280452,2807804.0,5,1,251523.0,315740.0,85.91381048387098,82.31742831541219,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.11561939964159,0.0,10000.0,0.0,64217.0,52.7352,5,5
9,2287789,2824384.0,5,2,240881.0,303779.0,89.88235047043011,87.24046538978494,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.56140793010752,0.0,10000.0,0.0,62898.0,53.6595,7,7
10,2378034,2925779.0,5,1,247515.0,308857.0,86.13827284946237,82.70290098566308,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.42058691756273,0.0,10000.0,0.0,61342.0,54.7745,19,19
11,2312742,2871982.0,5,2,258074.0,328574.0,89.16019825268818,86.19900873655914,0.0,0.0,0.0,0.0,10000,10000.0,False,False,87.67960349462365,0.0,10000.0,0.0,70500.0,55.924,15,17
12,2502003,3173107.0,5,1,263351.0,339128.0,85.25140008960574,81.0076164874552,0.0,0.0,0.0,0.0,10000,10000.0,False,False,83.12950828853047,0.0,10000.0,0.0,75777.0,67.1104,20,20
13,2313996,2861950.0,5,1,255979.0,313974.0,85.6642585125448,82.41633064516128,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.04029457885304,0.0,10000.0,0.0,57995.0,54.7954,16,15
14,2295828,2848984.0,5,1,246161.0,308250.0,86.21410170250896,82.73689516129032,0.0,0.0,0.0,0.0,10000,10000.0,False,False,84.47549843189964,0.0,10000.0,0.0,62089.0,55.3156,11,11
15,2307975,2854459.0,5,2,235050.0,293684.0,90.1272681451613,87.66448252688173,0.0,0.0,0.0,0.0,10000,10000.0,False,False,88.8958753360215,0.0,10000.0,0.0,58634.0,54.6484,13,13
16,2310512,2860799.0,5,1,236342.0,297293.0,86.76400089605735,83.35052643369175,0.0,0.0,0.0,0.0,10000,10000.0,False,False,85.05726366487455,0.0,10000.0,0.0,60951.0,55.0287,14,14
